WL     Counts
4931.75    6667.221000
4933.30    6248.584000
4934.84    6286.110000
4936.38    6322.777000
4937.93    6327.340000
4939.47    6697.695000
4941.01    6853.505000
4942.56    6971.575000
4944.10    7111.039000
4945.64    7091.179000
4947.18    7208.320000
4948.73    7129.433000
4950.27    7207.186000
4951.81    7014.517000
4953.36    6978.986000
4954.90    6936.689000
4956.44    6877.737000
4957.98    6840.458000
4959.53    6449.105000
4961.07    6696.211000
4962.61    6907.731000
4964.16    6704.381000
4965.70    6339.662000
4967.24    6173.732000
4968.79    6104.862000
4970.33    6152.792000
4971.87    6337.109000
4973.41    6668.701000
4974.96    6782.296000
4976.50    7067.042000
4978.04    6932.033000
4979.59    6922.972000
4981.13    6884.581000
4982.67    6568.992000
4984.22    6801.783000
4985.76    6508.716000
4987.30    6501.085000
4988.85    6632.665000
4990.39    6936.912000
4991.93    6969.029000
4993.47    7280.262000
4995.02    7216.064000
4996.56    7248.893000
4998.10    7281.817000
4999.65    7209.691000
5001.19    7125.136000
5002.73    6978.999000
5004.27    6664.935000
5005.82    6751.649000
5007.36    6740.037000
5008.90    6730.965000
5010.45    6822.494000
5011.99    6739.602000
5013.53    6676.827000
5015.08    6723.617000
5016.62    6746.385000
5018.16    6941.778000
5019.70    6693.528000
5021.25    6678.876000
5022.79    6882.479000
5024.33    6789.861000
5025.88    6708.482000
5027.42    6462.351000
5028.96    6181.150000
5030.51    6093.314000
5032.05    6102.333000
5033.59    6239.477000
5035.14    6315.160000
5036.68    6471.842000
5038.22    6481.525000
5039.76    6568.094000
5041.31    6547.715000
5042.85    6620.542000
5044.39    6593.261000
5045.94    6470.960000
5047.48    6345.514000
5049.02    6166.266000
5050.56    6257.246000
5052.11    6519.194000
5053.65    6771.124000
5055.19    6680.124000
5056.74    6543.346000
5058.28    6405.730000
5059.82    6315.698000
5061.37    6211.687000
5062.91    6081.358000
5064.45    5910.507000
5065.99    5918.923000
5067.54    6002.928000
5069.08    6019.429000
5070.62    6044.258000
5072.17    6017.020000
5073.71    6195.639000
5075.25    6388.197000
5076.80    6439.497000
5078.34    6487.217000
5079.88    6388.258000
5081.43    6467.573000
5082.97    6478.966000
5084.51    6240.670000
5086.05    6118.251000
5087.60    5995.478000
5089.14    5951.624000
5090.68    6005.750000
5092.23    6143.002000
5093.77    6337.833000
5095.31    6322.058000
5096.85    6325.937000
5098.40    6223.692000
5099.94    6233.139000
5101.48    6381.313000
5103.03    6403.780000
5104.57    6554.015000
5106.11    6554.043000
5107.66    6597.110000
5109.20    6464.443000
5110.74    6531.110000
5112.28    6508.075000
5113.83    6440.643000
5115.37    6185.419000
5116.91    6013.006000
5118.46    6187.407000
5120.00    6284.022000
5121.54    6313.860000
5123.09    6097.717000
5124.63    6228.074000
5126.17    6138.216000
5127.72    5827.854000
5129.26    5709.471000
5130.80    5626.226000
5132.34    5849.769000
5133.89    6010.192000
5135.43    6212.381000
5136.97    6299.153000
5138.52    6400.505000
5140.06    6417.630000
5141.60    6318.675000
5143.15    6452.499000
5144.69    6251.776000
5146.23    6122.763000
5147.77    6174.610000
5149.32    6129.299000
5150.86    6061.192000
5152.40    6004.938000
5153.95    6129.473000
5155.49    6142.817000
5157.03    6179.054000
5158.57    6157.615000
5160.12    6325.427000
5161.66    6290.256000
5163.20    6233.971000
5164.75    6363.480000
5166.29    6611.633000
5167.83    6486.195000
5169.38    6332.716000
5170.92    6218.022000
5172.46    6088.589000
5174.01    5924.199000
5175.55    6152.244000
5177.09    6041.259000
5178.63    6363.608000
5180.18    6067.850000
5181.72    6223.562000
5183.26    6115.370000
5184.81    6304.071000
5186.35    6450.389000
5187.89    6267.543000
5189.44    6059.539000
5190.98    6151.017000
5192.52    6136.911000
5194.06    6018.011000
5195.61    6071.136000
5197.15    5876.699000
5198.69    6078.729000
5200.24    6088.331000
5201.78    5965.804000
5203.32    6132.904000
5204.86    5819.822000
5206.41    6190.073000
5207.95    6198.930000
5209.49    6222.192000
5211.04    6029.045000
5212.58    5837.833000
5214.12    5724.304000
5215.67    5251.566000
5217.21    4761.148000
5218.75    4727.751000
5220.30    4624.891000
5221.84    4560.812000
5223.38    4881.349000
5224.92    5038.087000
5226.47    5136.674000
5228.01    5210.822000
5229.55    5236.785000
5231.10    5191.272000
5232.64    5099.323000
5234.18    5225.826000
5235.73    5120.110000
5237.27    5198.592000
5238.81    5435.253000
5240.35    5627.669000
5241.90    5720.252000
5243.44    5814.962000
5244.98    5966.455000
5246.53    6125.660000
5248.07    6238.391000
5249.61    6203.932000
5251.15    6104.848000
5252.70    5997.521000
5254.24    5948.858000
5255.78    5741.626000
5257.33    5530.823000
5258.87    5743.692000
5260.41    5745.075000
5261.96    5963.456000
5263.50    6137.117000
