                  ID                Teff            Teff_err              log(g)          log(g)_err              [Fe/H]          [Fe/H]_err                sHRD
                 164           26000.000             1000.00           3.1000000            0.100000                  -99.9                  -99.9             3.95231
                 165           22000.000             1000.00           3.0000000            0.100000                  -99.9                  -99.9             3.76210
                 166           22000.000             1000.00           2.7000000            0.100000                  -99.9                  -99.9             4.06210
                 167           22000.000             1000.00           2.8000000            0.100000                  -99.9                  -99.9             3.96210
                 168           18000.000             1000.00           2.2200000            0.100000                  -99.9                  -99.9             4.19350
                 169           22000.000             1000.00           2.8000000            0.100000                  -99.9                  -99.9             3.96210
                 170           24000.000             1000.00           3.2000000            0.100000                  -99.9                  -99.9             3.71326
                 171           23000.000             1000.00           3.0000000            0.100000                  -99.9                  -99.9             3.83932
                 172           24000.000             1000.00           3.6000000            0.100000                  -99.9                  -99.9             3.31326
                 173           22000.000             1000.00           2.9000000            0.100000                  -99.9                  -99.9             3.86210
                 174           22000.000             1000.00           2.9000000            0.100000                  -99.9                  -99.9             3.86210
                 175           22000.000             1000.00           3.0000000            0.100000                  -99.9                  -99.9             3.76210
                 176           24000.000             1000.00           3.6000000            0.100000                  -99.9                  -99.9             3.31326
                 177           20000.000             1000.00           3.0000000            0.100000                  -99.9                  -99.9             3.59653
                 178           19000.000             1000.00           2.2000000            0.100000                  -99.9                  -99.9             4.30743
                 179           21000.000             1000.00           3.5000000            0.100000                  -99.9                  -99.9             3.18129
                 180           19000.000             1000.00           2.5000000            0.100000                  -99.9                  -99.9             4.00743
                 181           19000.000             1000.00           2.3000000            0.100000                  -99.9                  -99.9             4.20743
                 182           22000.000             2067.73           2.9000000            0.189170                  -99.9                  -99.9             3.86210
                 183           19000.000             1000.00           2.6000000            0.100000                  -99.9                  -99.9             3.90743
                 184           19000.000             1000.00           3.0000000            0.100000                  -99.9                  -99.9             3.50743
                 185           21000.000             1000.00           3.6000000            0.100000                  -99.9                  -99.9             3.08129
                 186           20000.000             1000.00           3.3000000            0.100000                  -99.9                  -99.9             3.29653
                 187           19000.000             1000.00           3.7000000            0.100000                  -99.9                  -99.9             2.80743
                 188           19000.000             1000.00           3.3000000            0.100000                  -99.9                  -99.9             3.20743
                 189           21000.000             1000.00           3.4000000            0.100000                  -99.9                  -99.9             3.28129
                 190           17000.000             1000.00           3.2000000            0.100000                  -99.9                  -99.9             3.11421
                 191           23000.000             1000.00           3.7000000            0.100000                  -99.9                  -99.9             3.13932
                 192           24000.000             1000.00           4.1000000            0.100000                  -99.9                  -99.9             2.81326
                 193           20000.000             1000.00           3.0000000            0.100000                  -99.9                  -99.9             3.59653
                 194           10000.000             1000.00           1.5000000            0.124488                  -99.9                  -99.9             3.89241
                 195           26000.000             1000.00           3.0000000            0.100000                  -99.9                  -99.9             4.05231
                 196           26000.000             1000.00           3.5000000            0.100000                  -99.9                  -99.9             3.55231
                 197           24000.000             1000.00           2.9000000            0.100000                  -99.9                  -99.9             4.01326
                 198           22000.000             1000.00           2.5000000            0.100000                  -99.9                  -99.9             4.26210
                 199           21000.000             1353.49           2.7000000            0.139279                  -99.9                  -99.9             3.98129
                 200           23000.000             1000.00           2.8000000            0.100000                  -99.9                  -99.9             4.03932
                 201           23000.000             1846.63           3.0000000            0.202666                  -99.9                  -99.9             3.83932
                 202           23000.000             1000.00           3.0000000            0.100000                  -99.9                  -99.9             3.83932
                 203           19000.000             1000.00           2.6000000            0.100000                  -99.9                  -99.9             3.90743
